Symbol,Description,GICS sector,Category1,Category2,Category3,Market Cap,Average Volume,Actions,Industry,,,,,,,,,
ASTC,Astrotech Corp,Industrials,US Equity,Common stocks,Small cap,524535596,"516,604",Analyze,Aerospace & Defense,,,,,,,,,
NPK,National Presto Industries Inc,Industrials,US Equity,Common stocks,Small cap,493775631,"18,687",Analyze,Aerospace & Defense,,,,,,,,,
ACHR,Archer Aviation Inc. Class A,Industrials,US Equity,Common stocks,Small cap,401571115,"1,387,569",Analyze,Aerospace & Defense,,,,,,,,,
LILM,Lilium N.V. - Class A,Industrials,US Equity,Common stocks,Small cap,393360867,"1,172,863",Analyze,Aerospace & Defense,,,,,,,,,
VEC,Vectrus Inc,Industrials,US Equity,Common stocks,Small cap,388387613,"133,607",Analyze,Aerospace & Defense,,,,,,,,,
LLAP,Terran Orbital Corporation,Industrials,US Equity,Common stocks,Micro cap,277643383,"750,760",Analyze,Aerospace & Defense,,,,,,,,,
PKE,Park Electrochem Corp,Industrials,US Equity,Common stocks,Micro cap,269605836,"48,645",Analyze,Aerospace & Defense,,,,,,,,,
ATRO,Astronics Corp,Industrials,US Equity,Common stocks,Micro cap,266911112,"144,408",Analyze,Aerospace & Defense,,,,,,,,,
EH,EHang Holdings Limited ADRs,Industrials,US Equity,ADRs,Micro cap,265412731,"828,792",Analyze,Aerospace & Defense,,,,,,,,,
BYRN,Byrna Technologies Inc.,Industrials,US Equity,Common stocks,Micro cap,194570268,"65,710",Analyze,Aerospace & Defense,,,,,,,,,
AIRI,Air Industries Group,Industrials,US Equity,Common stocks,Micro cap,179899018,"11,860",Analyze,Aerospace & Defense,,,,,,,,,
IVAC,Intevac Inc,Information Technology,US Equity,Common stocks,Micro cap,155188002,"56,928",Analyze,Aerospace & Defense,,,,,,,,,
ISSC,Innovative Solutions And Support,Industrials,US Equity,Common stocks,Micro cap,153931058,"16,933",Analyze,Aerospace & Defense,,,,,,,,,
RDW,Redwire Corporation,Industrials,US Equity,Common stocks,Micro cap,126428326,"136,208",Analyze,Aerospace & Defense,,,,,,,,,
ASTR,"Astra Space, Inc. - Class A",Industrials,US Equity,Common stocks,Micro cap,98185757,"2,237,977",Analyze,Aerospace & Defense,,,,,,,,,
MNTS,Momentus Inc. - Class A,Industrials,US Equity,Common stocks,Micro cap,89198704,"268,686",Analyze,Aerospace & Defense,,,,,,,,,
CODA,Coda Octopus Group Inc.,Information Technology,US Equity,Common stocks,Micro cap,74922284,"10,599",Analyze,Aerospace & Defense,,,,,,,,,
TATT,Tat Technologies Ltd.,Industrials,US Equity,Common stocks,Micro cap,54207931,"2,998",Analyze,Aerospace & Defense,,,,,,,,,
VTSI,Virtra Inc,Industrials,US Equity,Common stocks,Micro cap,48888283,"24,132",Analyze,Aerospace & Defense,,,,,,,,,
SKYH,Sky Harbour Group Corporation Class A,Industrials,US Equity,Common stocks,Micro cap,46654107,"8,344",Analyze,Aerospace & Defense,,,,,,,,,
AZ,A2Z Smart Technologies Corp.,Industrials,US Equity,Common stocks,Micro cap,44215171,"63,327",Analyze,Aerospace & Defense,,,,,,,,,
UAVS,"AgEagle Aerial Systems, Inc.",Industrials,US Equity,Common stocks,Micro cap,36242354,"529,737",Analyze,Aerospace & Defense,,,,,,,,,
DPRO,Draganfly Inc.,Industrials,US Equity,Common stocks,Micro cap,30962202,"1,058,472",Analyze,Aerospace & Defense,,,,,,,,,
SIF,Sifco Industries Inc,Industrials,US Equity,Common stocks,Micro cap,18058455,"5,626",Analyze,Aerospace & Defense,,,,,,,,,
SIDU,Sidus Space Inc.,Industrials,US Equity,Common stocks,Micro cap,12698038,"91,882",Analyze,Aerospace & Defense,,,,,,,,,
CTVA,"Corteva, Inc.",Materials,US Equity,Common stocks,Large cap,45484560720,"2,785,460",Analyze,Agricultural Inputs,,,,,,,,,
NTR,Nutrien Ltd.,Materials,US Equity,Common stocks,Large cap,40293343982,"1,985,289",Analyze,Agricultural Inputs,,,,,,,,,
CF,CF Industries Holdings Inc,Materials,US Equity,Common stocks,Large cap,19913230495,"2,629,068",Analyze,Agricultural Inputs,,,,,,,,,
MOS,Mosaic,Materials,US Equity,Common stocks,Large cap,16244350132,"3,840,516",Analyze,Agricultural Inputs,,,,,,,,,
FMC,FMC Corp,Materials,US Equity,Common stocks,Large cap,16116080189,"705,626",Analyze,Agricultural Inputs,,,,,,,,,
ICL,Israel Chemicals Limited,Materials,US Equity,Common stocks,Large cap,10777261705,"1,348,338",Analyze,Agricultural Inputs,,,,,,,,,
SMG,Scotts Miracle Gro,Materials,US Equity,Common stocks,Mid cap,2925764033,"812,308",Analyze,Agricultural Inputs,,,,,,,,,
UAN,CVR Partners LP,Materials,US Equity,MLPs,Small cap,1189189859,"75,179",Analyze,Agricultural Inputs,,,,,,,,,
AVD,American Vanguard Corp,Materials,US Equity,Common stocks,Small cap,661740996,"149,053",Analyze,Agricultural Inputs,,,,,,,,,
BIOX,Bioceres Crop Solutions Corp.,Materials,US Equity,Common stocks,Small cap,513390047,"78,672",Analyze,Agricultural Inputs,,,,,,,,,
IPI,Intrepid Potash Inc,Materials,US Equity,Common stocks,Small cap,466852421,"206,543",Analyze,Agricultural Inputs,,,,,,,,,
MBII,Marrone Bio Innovations Inc,Materials,US Equity,Common stocks,Micro cap,198747328,"4,048,809",Analyze,Agricultural Inputs,,,,,,,,,
CGA,China Green Agriculture Inc.,Materials,US Equity,Common stocks,Micro cap,67621787,"4,437",Analyze,Agricultural Inputs,,,,,,,,,
SEED,Origin Agritech Limited,Consumer Staples,US Equity,Common stocks,Micro cap,61604434,"21,077",Analyze,Agricultural Inputs,,,,,,,,,
YTEN,Yield10 Bioscience Inc,Health Care,US Equity,Common stocks,Micro cap,8845418,"16,922",Analyze,Agricultural Inputs,,,,,,,,,
RKDA,Arcadia Biosciences Inc,Consumer Staples,US Equity,Common stocks,Micro cap,8625036,"147,021",Analyze,Agricultural Inputs,,,,,,,,,
SVFD,"Save Foods, Inc.",Materials,US Equity,Common stocks,Micro cap,5221688,"48,937",Analyze,Agricultural Inputs,,,,,,,,,
LUV,Southwest Airlines,Industrials,US Equity,Common stocks,Large cap,23560079519,"5,139,367",Analyze,Airlines,,,,,,,,,
DAL,Delta Air Lines Inc,Industrials,US Equity,Common stocks,Large cap,23025074079,"7,549,959",Analyze,Airlines,,,,,,,,,
RYAAY,Ryanair Holdings PLC ADRs,Industrials,US Equity,ADRs,Large cap,17300821159,"344,953",Analyze,Airlines,,,,,,,,,
UAL,United Continental Holdings Inc,Industrials,US Equity,Common stocks,Large cap,15004116532,"5,837,613",Analyze,Airlines,,,,,,,,,
AAL,American Airlines Group Inc,Industrials,US Equity,Common stocks,Mid cap,9313079711,"25,129,341",Analyze,Airlines,,,,,,,,,
ALK,Alaska Air Group Inc,Industrials,US Equity,Common stocks,Mid cap,5872591575,"1,097,193",Analyze,Airlines,,,,,,,,,
ULCC,"Frontier Group Holdings, Inc.",Industrials,US Equity,Common stocks,Mid cap,2806977096,"662,777",Analyze,Airlines,,,,,,,,,
ZNH,China Southern Airlines ADRs,Industrials,US Equity,ADRs,Mid cap,2803116770,"12,737",Analyze,Airlines,,,,,,,,,
CPA,Copa Holdings SA Class A,Industrials,US Equity,Common stocks,Mid cap,2675498758,"371,743",Analyze,Airlines,,,,,,,,,
JBLU,Jetblue Airways Corp,Industrials,US Equity,Common stocks,Mid cap,2591020912,"8,793,567",Analyze,Airlines,,,,,,,,,
SAVE,Spirit Airlines Inc,Industrials,US Equity,Common stocks,Mid cap,2262051826,"633,911",Analyze,Airlines,,,,,,,,,
CEA,China Eastern Airlines ADRs,Industrials,US Equity,ADRs,Small cap,1975458408,"5,796",Analyze,Airlines,,,,,,,,,
ALGT,Allegiant Travel,Industrials,US Equity,Common stocks,Small cap,1400867044,"211,502",Analyze,Airlines,,,,,,,,,
SNCY,"Sun Country Airlines Holdings, Inc.",Industrials,US Equity,Common stocks,Small cap,1094115138,"408,373",Analyze,Airlines,,,,,,,,,
VLRS,Controladora Vuela Compania de Aviacion S.A.B. de C.V. - Volaris ADRs,Industrials,US Equity,ADRs,Small cap,1063015825,"544,687",Analyze,Airlines,,,,,,,,,
SKYW,Skywest Inc,Industrials,US Equity,Common stocks,Small cap,935058672,"393,948",Analyze,Airlines,,,,,,,,,
HA,Hawaiian Holdings Inc,Industrials,US Equity,Common stocks,Small cap,700222396,"675,105",Analyze,Airlines,,,,,,,,,
GOL,Gol Linhas ADRs of preferred shares,Industrials,US Equity,ADRs,Small cap,513671197,"1,562,983",Analyze,Airlines,,,,,,,,,
MESA,Mesa Air Group Inc.,Industrials,US Equity,Common stocks,Micro cap,54442802,"257,561",Analyze,Airlines,,,,,,,,,
AER,AerCap Holdings NV,Industrials,US Equity,Common stocks,Large cap,14723726880,"891,530",Analyze,Airports & Air Services,,,,,,,,,
ASR,Grupo Aeroportuario del Sureste ADRs,Industrials,US Equity,ADRs,Mid cap,6932345100,"67,966",Analyze,Airports & Air Services,,,,,,,,,
PAC,Grupo Aeroportuario del Pacifico ADRs of Series B,Industrials,US Equity,ADRs,Mid cap,6676975878,"49,490",Analyze,Airports & Air Services,,,,,,,,,
OMAB,Grupo Aeroportuario-OMA ADRs,Industrials,US Equity,ADRs,Mid cap,2949519709,"80,867",Analyze,Airports & Air Services,,,,,,,,,
AAWW,Atlas Air Worldwide Holdings Inc,Industrials,US Equity,Common stocks,Mid cap,2852020109,"422,567",Analyze,Airports & Air Services,,,,,,,,,
JOBY,"Joby Aviation, Inc.",Industrials,US Equity,Common stocks,Mid cap,2275536843,"3,045,800",Analyze,Airports & Air Services,,,,,,,,,
CAAP,Corporacion America Airports SA,Industrials,US Equity,Common stocks,Small cap,1415140870,"68,037",Analyze,Airports & Air Services,,,,,,,,,
ASLE,AerSale Corporation,Industrials,US Equity,Common stocks,Small cap,818039707,"523,074",Analyze,Airports & Air Services,,,,,,,,,
MIC,Macquarie Infrastructure Corp,Industrials,US Equity,Common stocks,Small cap,363950090,"1,945,092",Analyze,Airports & Air Services,,,,,,,,,
BLDE,"Blade Air Mobility, Inc. - Class A",Industrials,US Equity,Common stocks,Small cap,347518413,"516,405",Analyze,Airports & Air Services,,,,,,,,,
UP,Wheels Up Experience Inc. Class A,Industrials,US Equity,Common stocks,Micro cap,292053520,"1,075,469",Analyze,Airports & Air Services,,,,,,,,,
AA,Alcoa Corp,Materials,US Equity,Common stocks,Mid cap,8547834441,"5,555,407",Analyze,Aluminum,,,,,,,,,
CSTM,Constellium NV Class A,Materials,US Equity,Common stocks,Small cap,1664156170,"850,609",Analyze,Aluminum,,,,,,,,,
ACH,Aluminum Corporation of China ADRs,Materials,US Equity,ADRs,Small cap,1426138097,"32,729",Analyze,Aluminum,,,,,,,,,
KALU,Kaiser Aluminium Corp,Materials,US Equity,Common stocks,Small cap,1335664969,"98,392",Analyze,Aluminum,,,,,,,,,
CENX,Century Aluminum,Materials,US Equity,Common stocks,Small cap,764576307,"2,210,206",Analyze,Aluminum,,,,,,,,,
VFC,VF Corp,Consumer Discretionary,US Equity,Common stocks,Large cap,11419957238,"5,962,380",Analyze,Apparel Manufacturing,,,,,,,,,
RL,Ralph Lauren Corp Class A,Consumer Discretionary,US Equity,Common stocks,Mid cap,7511379600,"1,018,622",Analyze,Apparel Manufacturing,,,,,,,,,
CPRI,Capri Holdings Limited,Consumer Discretionary,US Equity,Common stocks,Mid cap,7457123153,"1,873,104",Analyze,Apparel Manufacturing,,,,,,,,,
COLM,Columbia Sportswear,Consumer Discretionary,US Equity,Common stocks,Mid cap,5471589314,"355,609",Analyze,Apparel Manufacturing,,,,,,,,,
GIL,Gildan Activewear Inc. Class A,Consumer Discretionary,US Equity,Common stocks,Mid cap,5139408376,"466,465",Analyze,Apparel Manufacturing,,,,,,,,,
PVH,PVH Corp,Consumer Discretionary,US Equity,Common stocks,Mid cap,4671795917,"1,238,862",Analyze,Apparel Manufacturing,,,,,,,,,
UA,Under Armour Inc Class C,Consumer Discretionary,US Equity,Common stocks,Mid cap,3718851697,"3,117,594",Analyze,Apparel Manufacturing,,,,,,,,,
UAA,Under Armour Inc Class A,Consumer Discretionary,US Equity,Common stocks,Mid cap,3718851697,"8,164,272",Analyze,Apparel Manufacturing,,,,,,,,,
